region,waste_total,recycling_rate,sustainability_index
E. Asia & Pacific,752680756.8484118,0.15411486560906998,0.48688378293714774
Eur. & Cent. Asia,393645305.86800003,0.2109606302033287,0.5519982973864659
L. Amer. & the Caribbean,240241283.42936853,0.0988977975134104,0.39898812569321024
Mid. East & N. Africa,150353287.3051,0.10032629239914682,0.40413201775061924
N. Amer.,295786373.976,0.2042268241993522,0.5459447368396787
S. Asia,286252811.60105896,0.1184738697337195,0.45734477164232723
Sub-Saharan Africa,185327377.98351,0.10606687703687896,0.42918922519057195
